Doc_Num,Perm_Type,Recv_Date,Prop_Depth,Latitude,Longitude,UTM_X,UTM_Y
400478446,DR,10/16/2013,7800,40.176380,-105.051540,495612,4447335
400646693,DR,10/1/2015,11904,40.581750,-104.772500,519254,4492354
400646694,DR,10/1/2015,11874,40.581580,-104.772500,519254,4492335
400646695,DR,10/1/2015,12084,40.581660,-104.772500,519254,4492344
400646696,DR,8/4/2015,11909,40.559840,-104.787980,517949,4489919
400646697,DR,8/4/2015,12330,40.559840,-104.788550,517901,4489918
400646704,DR,8/4/2015,12507,40.559840,-104.788660,517892,4489918
400651401,DR,1/12/2015,17590,40.071988,-105.038820,496690,4435748
400651403,DR,1/12/2015,17776,40.071988,-105.038784,496693,4435748
400651407,DR,1/12/2015,17490,40.071987,-105.038748,496696,4435748
400651415,DR,1/12/2015,17701,40.071987,-105.038713,496699,4435748
400651417,DR,1/12/2015,17440,40.071987,-105.038677,496702,4435748
400651420,DR,1/12/2015,17664,40.071987,-105.038641,496705,4435748
400651422,DR,1/12/2015,17411,40.071987,-105.038605,496708,4435748
400651423,DR,1/12/2015,17653,40.071987,-105.038570,496711,4435748
400651427,DR,1/12/2015,17421,40.071987,-105.038534,496714,4435748
400653017,DR,9/26/2014,12178,40.458722,-104.946128,504568,4478674
400653258,DR,10/3/2014,13711,40.459050,-104.946236,504558,4478711
400653389,DR,10/2/2014,15131,40.459050,-104.946289,504554,4478711
400653448,DR,10/2/2014,15132,40.459050,-104.946342,504549,4478711
400653548,DR,10/2/2014,13849,40.459050,-104.946019,504577,4478711
400653640,DR,9/26/2014,12003,40.458722,-104.946075,504572,4478674
400653685,DR,9/26/2014,11842,40.458719,-104.945914,504586,4478674
400690102,DR,9/26/2014,11707,40.458719,-104.945644,504609,4478674
400690515,DR,9/26/2014,12037,40.458719,-104.946019,504577,4478674
400691250,DR,10/27/2014,12334,40.458722,-104.946289,504554,4478674
400691394,DR,10/24/2014,17977,40.459378,-104.945750,504600,4478747
400691401,DR,10/24/2014,17971,40.459381,-104.945803,504595,4478747
400691406,DR,10/24/2014,17738,40.459381,-104.945911,504586,4478747
400691595,DR,10/24/2014,17707,40.459381,-104.945964,504581,4478747
400691857,DR,10/24/2014,17516,40.459381,-104.946125,504568,4478747
400691891,DR,10/24/2014,17559,40.459381,-104.946181,504563,4478747
400691916,DR,10/24/2014,17354,40.459381,-104.946289,504554,4478747
400691929,DR,10/24/2014,17402,40.459381,-104.946342,504549,4478747
400795546,DR,7/12/2015,2804,37.214430,-107.538680,274734,4121680
400796355,DR,2/25/2015,14504,40.319425,-104.906885,507911,4463215
400796446,DR,2/25/2015,13996,40.319392,-104.906886,507911,4463212
400796472,DR,2/25/2015,14205,40.319228,-104.906891,507911,4463194
400796487,DR,2/25/2015,13704,40.319195,-104.906892,507911,4463190
400796547,DR,2/25/2015,13781,40.319261,-104.906890,507911,4463197
400796562,DR,2/25/2015,14388,40.319359,-104.906887,507911,4463208
400796576,DR,2/25/2015,13891,40.319326,-104.906888,507911,4463204
400796625,DR,2/25/2015,14632,40.319491,-104.906883,507911,4463223
400796646,DR,2/25/2015,14121,40.319458,-104.906884,507911,4463219
400819354,DR,11/13/2015,8551,39.479161,-107.559759,279835,4373080
400819406,DR,11/13/2015,8531,39.479183,-107.559723,279838,4373082
400819429,DR,11/13/2015,8562,39.479188,-107.559751,279835,4373083
400819465,DR,11/13/2015,8525,39.479156,-107.559731,279837,4373079
400819513,DR,11/13/2015,8664,39.479166,-107.559786,279832,4373080
400819534,DR,11/13/2015,8739,39.479192,-107.559779,279833,4373083
400819692,DR,11/13/2015,8885,39.479170,-107.559814,279830,4373081
400819735,DR,11/13/2015,9010,39.479197,-107.559806,279831,4373084
400819786,DR,11/13/2015,8376,39.479185,-107.559897,279823,4373083
400819807,DR,11/13/2015,8367,39.479190,-107.559925,279820,4373083
400819823,DR,11/13/2015,8387,39.479217,-107.559917,279821,4373086
