School Code,School Name,Address,City,State,Zipcode,Phone,District Code,District Name,,County,Grades
P003,ASSUMPTION CATHOLIC SCHOOL    ,2341 EAST 78TH AVENUE         ,DENVER              ,CO,80229 ,3032882159,0010,MAPLETON            1         ,01,ADAMS           ,PK-08 
P004,COMMUNITY CHRISTIAN SCHOOL    ,11980 IRMA DRIVE              ,NORTHGLENN          ,CO,80233 ,3034527514,0020,ADAMS 12 FIVE STAR SCHOOLS    ,01,ADAMS           ,PK-12 
P493,EASTLAKE MONTESSORI SCHOOL    ,PO BOX 222                    ,EASTLAKE            ,CO,80614 ,3034523835,0020,ADAMS 12 FIVE STAR SCHOOLS    ,01,ADAMS           ,PK-K  
P021,GETHSEMANE LUTHERAN SCHOOL    ,10675 NORTH WASHINGTON STREET ,NORTHGLENN          ,CO,80233 ,3034516908,0020,ADAMS 12 FIVE STAR SCHOOLS    ,01,ADAMS           ,PK-07 
P257,cde,3960 EAST 128TH AVENUE        ,THORNTON            ,CO,80241 ,3034500119,0020,ADAMS 12 FIVE STAR SCHOOLS    ,01,ADAMS           ,PK-PK 
P384,HOLY FAMILY HIGH SCHOOL       ,5195 WEST 144TH AVENUE        ,BROOMFIELD          ,CO,80023 ,3034101411,0020,ADAMS 12 FIVE STAR SCHOOLS    ,01,ADAMS           ,09-12 
P752,LIFE CHRISTIAN ACADEMY        ,11500 NORTH SHERIDAN BLVD     ,WESTMINSTER         ,CO,80020 ,3034381260,0020,ADAMS 12 FIVE STAR SCHOOLS    ,01,ADAMS           ,PK-12 
P039,NORTHSIDE CHRISTIAN DAYCARE   ,11550 NORTH WASHINGTON STREET ,NORTHGLENN          ,CO,80233 ,3034571433,0020,ADAMS 12 FIVE STAR SCHOOLS    ,01,ADAMS           ,PK- K 
P745,ROCKY MOUNTAIN LUTHERAN HIGH  ,2300 WEST 90TH AVENUE         ,FEDERAL HEIGHTS     ,CO,80260 ,3033461947,0020,ADAMS 12 FIVE STAR SCHOOLS    ,01,ADAMS           ,09-12 
P436,ST JOHN'S EARLY LEARNING CTR  ,11040 COLORADO BLVD           ,THORNTON            ,CO,80233 ,3039202142,0020,ADAMS 12 FIVE STAR SCHOOLS    ,01,ADAMS           ,PK-PK 
P675,LITTLE GIANTS LEARNING CENTER ,7420 NEWPORT STREET           ,COMMERCE CITY       ,CO,80022 ,          ,0030,ADAMS COUNTY        14        ,01,ADAMS           ,PK-PK 
P587,ADVANCE MONTESSORI            ,15161 SHADOW WOOD STREET      ,BRIGHTON            ,CO,80603 ,3036550143,0040,BRIGHTON            27J       ,01,ADAMS           ,PK-04 
P671,BRIGHTON MONTESSORI SCHOOL INC,203 SOUTH 3RD AVENUE          ,BRIGHTON            ,CO,80601 ,3036590515,0040,BRIGHTON            27J       ,01,ADAMS           ,PK- K 
P054,ELMWOOD BAPTIST ACADEMY       ,13100 EAST 144TH AVENUE       ,BRIGHTON            ,CO,80601 ,3036593818,0040,BRIGHTON            27J       ,01,ADAMS           ,PK-12 
P908,KIDDIE ACADEMY OF BRIGHTON    ,19 NORTH 42ND AVE             ,BRIGHTON            ,CO,80601 ,7206850003,0040,BRIGHTON            27J       ,01,ADAMS           ,PK- K 
P057,ZION LUTHERAN SCHOOL          ,1400 SKEEL STREET             ,BRIGHTON            ,CO,80601 ,3036593443,0040,BRIGHTON            27J       ,01,ADAMS           ,PK-08 
P392,OUR LADY OF HELP OF CHRISTIANS,32100 EAST COLFAX SERVICE RD  ,WATKINS             ,CO,80137 ,3033445830,0050,BENNETT             29J       ,01,ADAMS           , K-12 
P063,BELLEVIEW CHRISTIAN SCHOOL    ,3455 WEST 83RD AVENUE         ,WESTMINSTER         ,CO,80031 ,3034275459,0070,WESTMINSTER         50        ,01,ADAMS           ,PK-12 
P335,CHILDREN'S OUTREACH PROJECT   ,8000 PECOS STREET             ,DENVER              ,CO,80221 ,3034290653,0070,WESTMINSTER         50        ,01,ADAMS           ,PK- K 
P069,GUARDIAN ANGELS SCHOOL        ,1843 WEST 52ND AVENUE         ,DENVER              ,CO,80221 ,3034809005,0070,WESTMINSTER         50        ,01,ADAMS           ,PK-08 
P072,HOLY TRINITY CATHOLIC SCHOOL  ,3050 WEST 76TH AVENUE         ,WESTMINSTER         ,CO,80030 ,3034275632,0070,WESTMINSTER         50        ,01,ADAMS           ,PK-08 
P896,HYLAND HILLS PRESCHOOL        ,7125 WEST MARIPOSA STREET     ,ARVADA              ,CO,80221 ,3036507657,0070,WESTMINSTER         50        ,01,ADAMS           ,PK-PK 
P334,WESTMINSTER LEARNING CENTER   ,4000 SHAW BLVD                ,WESTMINSTER         ,CO,80030 ,3034278831,0070,WESTMINSTER         50        ,01,ADAMS           ,PK-PK 
P078,TRINITY LUTHERAN SCHOOL       ,"52 EL RIO DRIVE, PO BOX 787   ",ALAMOSA             ,CO,81101 ,7195893271,0100,ALAMOSA             RE-11J    ,02,ALAMOSA         ,PK-03 
P081,ALL SOULS CATHOLIC SCHOOL     ,4951 SOUTH PENNSYLVANIA       ,ENGLEWOOD           ,CO,80113 ,3037892155,0120,ENGLEWOOD           1         ,03,ARAPAHOE        ,PK-08 
P325,HUMANEX ACADEMY               ,2700 SOUTH ZUNI STREET        ,ENGLEWOOD           ,CO,80110 ,3037830137,0120,ENGLEWOOD           1         ,03,ARAPAHOE        ,06-12 
P084,ST LOUIS CATHOLIC SCHOOL      ,3301 SOUTH SHERMAN STREET     ,ENGLEWOOD           ,CO,80113 ,3037628307,0120,ENGLEWOOD           1         ,03,ARAPAHOE        ,K -08 
P093,BEACON COUNTRY DAY SCHOOL     ,6100 EAST BELLVIEW            ,GREENWOOD VILLAGE   ,CO,80111 ,3037713990,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,PK-08 
P111,DENVER JEWISH DAY SCHOOL      ,2450 SOUTH WABASH STREET      ,DENVER              ,CO,80231 ,7204499550,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,K -12 
P114,HOLY LOVE PRESCHOOL & KINDER  ,4210 SOUTH CHAMBERS ROAD      ,AURORA              ,CO,80014 ,3036938519,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,PK- K 
P117,KENT DENVER SCHOOL            ,4000 EAST QUINCY AVENUE       ,ENGLEWOOD           ,CO,80113 ,3037707660,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,06-12 
P070,MONTESSORI AT GREENWOOD PLAZA ,5889 GREENWOOD PLAZA BLVD #100,ENGLEWOOD           ,CO,80111 ,3037930190,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,PK- K 
P784,MONTESSORI AT THE MARINA      ,"8101 E BELLEVIEW AVE, UNIT T20",DENVER              ,CO,80237 ,3032908843,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,PK-PK 
P126,MT OLIVE LUTHERAN ECEC        ,11500 EAST ILIFF AVENUE       ,AURORA              ,CO,80014 ,3037509856,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,PK-PK 
