School Code,School Name,Physical Address,Physical City,Physical State,Physical Zipcode,Phone,Lowest Grade,Highest Grade,School Type,District Code,District Name,District Size,District Setting
0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,8980 YORK STREET,THORNTON,CO,80299,3038531270,7th Grade,12th Grade,High,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,8980 YORK STREET,THORNTON,CO,80229,3038531960,9th Grade,12th Grade,High,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0263,GLOBAL LEADERSHIP ACADEMY,7480 CONIFER ROAD,DENVER,CO,80221,3038531930,Preschool,12th Grade,High,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0309,ACADEMY HIGH SCHOOL,8970 YORK STREET,THORNTON,CO,80229,3038531900,9th Grade,12th Grade,High,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0501,MONTEREY COMMUNITY SCHOOL,2210 MCELWAIN BLVD,DENVER,CO,80229,3038531360,Preschool,8th Grade,Elementary  ,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0502,MEADOW COMMUNITY SCHOOL,9150 MONROE ST,THORNTON,CO,80229,3038531500,Preschool,8th Grade,Elementary  ,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0503,YORK INTERNATIONAL,9200 YORK ST,THORNTON,CO,80229,3038531600,1/2 Day Kindergarten,12th Grade,High,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0504,WELBY MONTESSORI SCHOOL,1200 E 78TH AVE,DENVER,CO,80229,3038531700,Preschool,6th Grade,Elementary  ,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0505,ACHIEVE ACADEMY,9100 POZE BLVD,THORNTON,CO,80229,3038531300,Preschool,8th Grade,Elementary  ,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0506,EXPLORE ELEMENTARY,2410 POZE BLVD,THORNTON,CO,80229,3038531300,Preschool,6th Grade,Elementary  ,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0507,ADVENTURE ELEMENTARY,7700 DELTA ST.,DENVER,CO,80221,3038531410,Preschool,6th Grade,Elementary  ,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0509,CLAYTON PARTNERSHIP SCHOOL,8970 YORK STREET,THORNTON,CO,80229,3038531460,1/2 Day Kindergarten,8th Grade,Elementary  ,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
1796,COLORADO CONNECTIONS ACADEMY,8 INVERNESS DRIVE E SUITE 240,ENGLEWOOD,CO,80112,3037942302,1/2 Day Kindergarten,12th Grade,High,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,8990 YORK ST,THORNTON,CO,80229,3038531790,9th Grade,12th Grade,High,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
9036,VALLEY VIEW K-8,660 WEST 70TH AVENUE,DENVER,CO,80221,3038531560,1/2 Day Kindergarten,8th Grade,Elementary  ,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0014,GLACIER PEAK ELEMENTARY SCHOOL,12060 JASMINE STREET,BRIGHTON,CO,80605,7209725940,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
0057,ROCKY TOP MIDDLE SCHOOL,14150 YORK STREET,THORNTON,CO,80602,7209722200,6th Grade,8th Grade,Middle ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
0059,MERIDIAN ELEMENTARY SCHOOL,14256 MCKAY PARK CIRCLE,BROOMFIELD,CO,80020,7209727880,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
0070,ADAMS12 FIVE STAR PRESCHOOL,1500 EAST 128TH AVENUE,THORNTON,CO,80241,7209726001,Preschool,Preschool,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
0210,VANTAGE POINT,10900 HURON STREET,NORTHGLENN,CO,80234,7209725800,6th Grade,12th Grade,High,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,13095 PECOS STREET,WESTMINSTER,CO,80030,7209725740,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
1020,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,5321 EAST 136TH AVENUE,BRIGHTON,CO,80601,7209724574,Infant,Preschool,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
