"Name","Street Address","City","State","Zip","Latitude","Longitude"
"MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS","8980 YORK STREET","THORNTON","CO","80299",39.85749939999999,-104.9569094
"MAPLETON EARLY COLLEGE HIGH SCHOOL","8980 YORK STREET","THORNTON","CO","80229",39.85749939999999,-104.9569094
"GLOBAL LEADERSHIP ACADEMY","7480 CONIFER ROAD","DENVER","CO","80221",39.8345142,-104.9874494
"ACADEMY HIGH SCHOOL","8970 YORK STREET","THORNTON","CO","80229",39.857341,-104.9580304
"MONTEREY COMMUNITY SCHOOL","2210 MCELWAIN BLVD","DENVER","CO","80229",39.8506278,-104.9605459
"MEADOW COMMUNITY SCHOOL","9150 MONROE ST","THORNTON","CO","80229",39.8608811,-104.9435975
"YORK INTERNATIONAL","9200 YORK ST","THORNTON","CO","80229",39.8649199,-104.9581295
"WELBY MONTESSORI SCHOOL","1200 E 78TH AVE","DENVER","CO","80229",39.8375206,-104.974585
"ACHIEVE ACADEMY","9100 POZE BLVD","THORNTON","CO","80229",39.8623008,-104.9609971
"EXPLORE ELEMENTARY","2410 POZE BLVD","THORNTON","CO","80229",39.86264269999999,-104.9576985
"ADVENTURE ELEMENTARY","7700 DELTA ST.","DENVER","CO","80221",39.836685,-104.9909909
"CLAYTON PARTNERSHIP SCHOOL","8970 YORK STREET","THORNTON","CO","80229",39.857341,-104.9580304
"COLORADO CONNECTIONS ACADEMY","8 INVERNESS DRIVE E SUITE 240","ENGLEWOOD","CO","80112",39.5672635,-104.8625222
"NORTH VALLEY SCHOOL FOR YOUNG ADULTS","8990 YORK ST","THORNTON","CO","80229",39.8584633,-104.9575143
"VALLEY VIEW K-8","660 WEST 70TH AVENUE","DENVER","CO","80221",39.822448,-104.995478
"GLACIER PEAK ELEMENTARY SCHOOL","12060 JASMINE STREET","BRIGHTON","CO","80605",39.9152916,-104.9169108
"ROCKY TOP MIDDLE SCHOOL","14150 YORK STREET","THORNTON","CO","80602",39.95159530000001,-104.9578235
"MERIDIAN ELEMENTARY SCHOOL","14256 MCKAY PARK CIRCLE","BROOMFIELD","CO","80020",39.9547639,-105.0218225
"ADAMS12 FIVE STAR PRESCHOOL","1500 EAST 128TH AVENUE","THORNTON","CO","80241",39.92696660000001,-104.9673525
"VANTAGE POINT","10900 HURON STREET","NORTHGLENN","CO","80234",39.8939962,-104.9956794
"ARAPAHOE RIDGE ELEMENTARY SCHOOL","13095 PECOS STREET","WESTMINSTER","CO","80030",39.9352273,-105.0074684
"BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL","5321 EAST 136TH AVENUE","BRIGHTON","CO","80601",39.943323,-104.8277205
"CENTENNIAL ELEMENTARY SCHOOL","13200 WESTLAKE DRIVE","BROOMFIELD","CO","80020",39.9346579,-105.0228805
"CENTURY MIDDLE SCHOOL","13000 LAFAYETTE STREET","THORNTON","CO","80241",39.9325443,-104.967331
"STARGATE CHARTER SCHOOL","3951 COTTONWOODLAKES BOULEVARD","THORNTON","CO","80241",39.93489700000001,-104.9412883
"CORONADO HILLS ELEMENTARY SCHOOL","8300 DOWNING DRIVE","THORNTON","CO","80229",39.8738591,-104.9721296
"COTTON CREEK ELEMENTARY SCHOOL","11100 VRAIN STREET","WESTMINSTER","CO","80030",39.8309075,-105.0463916
"COYOTE RIDGE ELEMENTARY SCHOOL","13770 BROADLANDS DRIVE","BROOMFIELD","CO","80020",39.9463695,-105.0448393
"EAGLEVIEW ELEMENTARY SCHOOL","4601 SUMMIT GROVE PARKWAY","THORNTON","CO","80241",39.9373071,-104.9320866
"TARVER ELEMENTARY SCHOOL","3500 SUMMIT GROVE PARKWAY","THORNTON","CO","80241",39.9374878,-104.9474854
"CHERRY DRIVE ELEMENTARY SCHOOL","11500 CHERRY DRIVE","THORNTON","CO","80233",39.9019017,-104.9289086
"SKYVIEW ELEMENTARY SCHOOL","5021 EAST 123RD AVENUE","THORNTON","CO","80241",39.91932,-104.928687
"HUNTERS GLEN ELEMENTARY SCHOOL","13222 CORONA STREET","THORNTON","CO","80241",39.9365454,-104.9720504
"ROCKY MOUNTAIN ELEMENTARY SCHOOL","3350 WEST 99TH AVENUE","WESTMINSTER","CO","80030",39.875255,-105.031608
"RIVERDALE ELEMENTARY SCHOOL","10724 ELM DRIVE","THORNTON","CO","80233",39.891641,-104.927718
"FEDERAL HEIGHTS ELEMENTARY SCHOOL","2500 W 96TH AVENUE","DENVER","CO","80221",39.8707154,-105.016799
"GLOBAL VILLAGE ACADEMY","555 WEST 112TH AVENUE","NORTHGLENN","CO","80234",39.9013606,-104.9945388
"HILLCREST ELEMENTARY SCHOOL","10335 CROKE DRIVE","NORTHGLENN","CO","80221",39.883247,-105.001095
"HORIZON HIGH SCHOOL","5321 EAST 136TH AVENUE","BRIGHTON","CO","80601",39.943323,-104.8277205
"HULSTROM OPTIONS K-8 SCHOOL","11551 WYCO DRIVE","NORTHGLENN","CO","80233",39.9058415,-104.9658886
"SILVER HILLS MIDDLE SCHOOL","12400 HURON STREET","NORTHGLENN","CO","80234",39.9227321,-104.995003
"LEGACY HIGH SCHOOL","2701 WEST 136TH STREET","BROOMFIELD","CO","80020",39.9442713,-105.0194594
"LEROY DRIVE ELEMENTARY SCHOOL","1451 EAST LEROY DRIVE","NORTHGLENN","CO","80233",39.8896976,-104.9688479
"MALLEY DRIVE ELEMENTARY SCHOOL","1300 EAST MALLEY DRIVE","NORTHGLENN","CO","80233",39.903344,-104.971721
"MC ELWAIN ELEMENTARY SCHOOL","1020 DAWSON DRIVE","THORNTON","CO","80229",39.8511396,-104.9731439
"THE INTERNATIONAL SCHOOL AT THORNTON MIDDLE","9451 HOFFMAN WAY","THORNTON","CO","80229",39.869086,-104.9755909
"THORNTON HIGH SCHOOL","9351 WASHINGTON STREET","THORNTON","CO","80229",39.86639900000001,-104.979983
"MOUNTAIN RANGE HIGH SCHOOL","12500 HURON STREET","WESTMINSTER","CO","80234",39.9249208,-104.9942699
"MOUNTAIN VIEW ELEMENTARY SCHOOL","12401 PERRY STREET","BROOMFIELD","CO","80020",39.9230415,-105.0400663
"SHADOW RIDGE MIDDLE SCHOOL","12551 HOLLY STREET","THORNTON","CO","80602",39.923733,-104.9219275
"NORTH MOR ELEMENTARY SCHOOL","9580 DAMON DRIVE","NORTHGLENN","CO","80221",39.870621,-104.9903005
"NORTH STAR ELEMENTARY SCHOOL","8740 NORTH STAR DRIVE","DENVER","CO","80221",29.71737269999999,-98.1256433
"NORTHGLENN MIDDLE SCHOOL","1123 MURIEL DRIVE","NORTHGLENN","CO","80233",39.8965521,-104.9725319
"NORTHGLENN HIGH SCHOOL","601 WEST 100TH PLACE","NORTHGLENN","CO","80221",39.880544,-104.994691
"PROSPECT RIDGE ACADEMY","2555 PREBLE CREEK PKWY","BROOMFIELD","CO","80023",39.9943091,-105.0176361
"PATHWAYS FUTURE CENTER","550 E. 124TH AVENUE","THORNTON","CO","80241",39.920819,-104.982149
"PRAIRIE HILLS ELEMENTARY SCHOOL","13801 GARFIELD PLACE","THORNTON","CO","80602",39.9466744,-104.9443645
"SILVER CREEK ELEMENTARY","15101 FILLMORE STRE","THORNTON","CO","80602",39.9712107,-104.9538305
"THE STUDIO SCHOOL","10604 GRANT DRIVE","NORTHGLENN","CO","80233",39.888843,-104.981339
"STELLAR ELEMENTARY SCHOOL","3901 EAST 124TH AVENUE","THORNTON","CO","80241",39.9225586,-104.9418744
"STEM LAB","11700 IRMA DRIVE","NORTHGLENN","CO","80233",39.9084898,-104.9673863
"STEM LAUNCH","9450 PECOS STREET","THORNTON","CO","80206",39.868596,-105.0051058
"STUKEY ELEMENTARY SCHOOL","11080 GRANT DRIVE","NORTHGLENN","CO","80233",39.897725,-104.9797959
"THORNTON ELEMENTARY SCHOOL","900 EPPINGER BOULEVARD","THORNTON","CO","80229",39.864708,-104.97517
"WESTGATE CHARTER","11700 IRMA DRIVE","NORTHGLENN","CO","80233",39.9084898,-104.9673863
"WESTLAKE MIDDLE SCHOOL","2800 WEST 135TH AVENUE","BROOMFIELD","CO","80020",39.9416425,-105.0195783
"WESTVIEW ELEMENTARY SCHOOL","1300 ROSEANNA DRIVE","NORTHGLENN","CO","80234",39.890399,-105.004282
"WOODGLEN ELEMENTARY SCHOOL","11717 MADISON STREET","THORNTON","CO","80233",39.9079086,-104.9465364
"ADAMS CITY MIDDLE SCHOOL","4451 EAST 72ND AVENUE","COMMERCE CITY","CO","80022",39.8273248,-104.9357704
"LESTER R ARNOLD HIGH SCHOOL","6500 EAST 72ND AVENUE","COMMERCE CITY","CO","80022",39.8265816,-104.9123378
